N	SIN_OPT
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
3000	0.000004
4500	0.000006
4500	0.000006
4500	0.000006
4500	0.000006
4500	0.000006
4500	0.000006
4500	0.000006
4500	0.000007
4500	0.000007
4500	0.000006
4500	0.000006
4500	0.000006
4500	0.000006
4500	0.000006
4500	0.000006
4500	0.000006
4500	0.000006
4500	0.000006
4500	0.000006
4500	0.000006
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
7000	0.000010
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
9500	0.000014
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
12000	0.000017
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
17000	0.000024
25000	0.000035
25000	0.000035
25000	0.000035
25000	0.000035
25000	0.000035
25000	0.000035
